TF,rho,pval,abs_rho,direction
IRF1,0.29035553140248244,2.810228519554037e-283,0.29035553140248244,up
SPI1,0.24791086154230343,1.311193741271319e-204,0.24791086154230343,up
IRF4,-0.16385140585816127,6.370827408313352e-89,0.16385140585816127,down
KLF4,-0.1602857788431939,3.975338313185413e-85,0.1602857788431939,down
NFKB1,0.11609729533296284,2.9496032186189124e-45,0.11609729533296284,up
MYC,0.106808447839786,1.55846921050968e-38,0.106808447839786,up
JUN,-0.09576934995362292,2.7934101704348995e-31,0.09576934995362292,down
HIF1A,0.08814758015606522,9.787765877098584e-27,0.08814758015606522,up
RUNX1,0.0832248369518415,5.318812494348179e-24,0.0832248369518415,up
FOS,-0.06714031714695644,3.7596903669351634e-16,0.06714031714695644,down
STAT3,-0.05432983232038865,4.42180565333445e-11,0.05432983232038865,down
PPARG,-0.032485952506080926,8.213731830576884e-05,0.032485952506080926,down
RELA,0.018546866438675664,0.024580965952521062,0.018546866438675664,up
NFATC1,-0.01287020887425765,0.11879984597265014,0.01287020887425765,down
CEBPB,0.005252211420200189,0.5244307876786835,0.005252211420200189,up
