names,scores,logfoldchanges,pvals,pvals_adj
CCL5,63.71026,4.291502,0.0,0.0
CD7,57.92883,2.6611938,0.0,0.0
MT-ND4,50.930637,1.362487,0.0,0.0
TMSB4X,49.319073,1.0887283,0.0,0.0
MT-ND2,49.068497,1.4506254,0.0,0.0
LDLRAD4,49.033875,3.5892992,0.0,0.0
CREM,45.86439,2.7295525,0.0,0.0
CD63,45.532047,2.943987,0.0,0.0
RPS20,44.730362,2.107289,0.0,0.0
IGHA1,44.54539,2.890372,0.0,0.0
HOPX,43.74296,3.097378,0.0,0.0
IGKC,43.70743,2.5716782,0.0,0.0
RPLP2,42.426365,0.97590244,0.0,0.0
HLA-C,40.319843,2.9095416,0.0,0.0
RPL21,38.269234,2.7169423,0.0,0.0
TRGC2,38.152035,3.8339684,0.0,0.0
GZMA,37.094997,2.978201,3.3828532241066276e-301,1.6931180386653672e-298
HLA-A,37.08808,2.8896513,4.372980752654302e-301,2.073483347403295e-298
ID2,36.489452,2.0592952,1.6301000843280268e-291,7.342785829855597e-289
PTMA,36.394512,0.80885637,5.199151934243552e-290,2.230436179790484e-287
RPL27A,36.31095,1.6134777,1.0868382504117639e-288,4.350953804949491e-286
TRDC,36.310352,4.8460937,1.1107996172032222e-288,4.350953804949491e-286
RGS1,36.262722,2.1139643,6.262776739103067e-288,2.3508898184408137e-285
KLRD1,35.80885,3.0711138,8.042733054245324e-281,2.898279283427845e-278
HLA-B,35.484188,2.7620327,8.619671768759126e-276,2.8760971468426285e-273
RPS11,35.13425,1.230296,2.022736127227495e-270,6.508153489354465e-268
RPL13A,35.061817,1.273262,2.5759386336249723e-269,8.002286603561164e-267
CD160,34.817764,4.7216945,1.3099037758756695e-265,3.9336410389546355e-263
IGHA2,34.111763,2.7630258,4.93666587936793e-255,1.3477097850674448e-252
RPS10,33.87561,1.8364676,1.5235514559473466e-251,4.0369632548910723e-249
