param,value,oof_auc,fold_std,fold_aucs
N_PCA,10.0,0.921218487394958,0.027994168488950588,0.9286;1.0000;1.0000;1.0000;0.9714
N_PCA,20.0,0.8750000000000001,0.015238095238095216,0.9524;0.9762;1.0000;0.9714;0.9714
N_PCA,30.0,0.9243697478991597,0.019047619047619018,0.9524;0.9762;1.0000;1.0000;1.0000
N_PCA,40.0,0.8949579831932774,0.03481079406189914,1.0000;0.9524;1.0000;1.0000;0.9143
N_PCA,50.0,0.9054621848739496,0.06682973254418602,1.0000;0.9762;1.0000;1.0000;0.8286
HIDDEN_DIM,64.0,0.8644957983193278,0.09670354028656684,1.0000;1.0000;0.9722;0.9429;0.7429
HIDDEN_DIM,128.0,0.8834033613445378,0.03481079406189918,1.0000;0.9524;1.0000;1.0000;0.9143
HIDDEN_DIM,256.0,0.9138655462184875,0.02857142857142856,1.0000;0.9286;1.0000;1.0000;1.0000
HIDDEN_DIM,512.0,0.9233193277310925,0.04231401884099633,0.9762;0.9762;1.0000;1.0000;0.8857
ATT_DIM,32.0,0.9390756302521008,0.05553287518900284,1.0000;0.9762;1.0000;1.0000;0.8571
ATT_DIM,64.0,0.8802521008403361,0.03875617133214436,1.0000;0.9286;1.0000;1.0000;0.9143
ATT_DIM,128.0,0.8865546218487395,0.06737043498600914,1.0000;0.9286;1.0000;1.0000;0.8286
ATT_DIM,256.0,0.9149159663865546,0.029199447079535007,0.9762;0.9524;1.0000;0.9429;0.9143
MAX_CELLS,500.0,0.8718487394957982,0.04952380952380956,0.9762;0.9524;1.0000;0.9714;0.8571
MAX_CELLS,750.0,0.8865546218487395,0.026666666666666623,1.0000;0.9524;1.0000;0.9429;0.9429
MAX_CELLS,1000.0,0.8928571428571428,0.06455147886792591,0.9762;0.9286;1.0000;1.0000;0.8286
MAX_CELLS,1500.0,0.9086134453781513,0.042163702135578414,0.9762;1.0000;1.0000;0.9714;0.8857
MAX_CELLS,2000.0,0.8718487394957983,0.07350011954885613,0.9524;0.9286;1.0000;1.0000;0.8000
DROPOUT,0.0,0.8718487394957983,0.0464230765979198,0.9524;0.9524;1.0000;0.9429;0.8571
DROPOUT,0.1,0.9338235294117647,0.04491362332400609,1.0000;0.9524;1.0000;1.0000;0.8857
DROPOUT,0.25,0.9411764705882353,0.019610724078070445,1.0000;0.9524;1.0000;0.9714;1.0000
DROPOUT,0.4,0.9411764705882353,0.033536794022207654,1.0000;0.9762;1.0000;0.9429;0.9143
DROPOUT,0.5,0.9096638655462185,0.021210530906019095,1.0000;0.9762;1.0000;0.9714;0.9429
LR,1e-05,0.7720588235294118,0.08350473680144838,0.8810;0.9524;0.9444;0.9714;0.7429
LR,5e-05,0.9002100840336134,0.0430577316398374,1.0000;0.9762;1.0000;0.9429;0.8857
LR,0.0001,0.8665966386554622,0.05302632726504781,0.9524;0.9762;1.0000;1.0000;0.8571
LR,0.0005,0.8876050420168067,0.04430363180804957,1.0000;0.9762;1.0000;1.0000;0.8857
LR,0.001,0.8739495798319327,0.04460967020430618,0.9286;0.9762;1.0000;1.0000;0.8857
